Date,DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str,PercentStockSold
4/24/2013,SHORUNW,MONTRL,MOUNT MASOCHIST II,B,9,34986,3/23/2012,1,99.99,0,0,0,AA,
4/24/2013,SHORUNW,MONTRL,MOUNT MASOCHIST II,B,9,34986,3/23/2012,1,99.99,0,0,0,NOV,
4/24/2013,SHORUNW,MONTRL,MOUNT MASOCHIST II,B,10,34988,10/13/2010,1,99.99,0,0,0,AA,
4/24/2013,SHORUNW,MONTRL,MOUNT MASOCHIST II,B,10,34988,10/13/2010,1,99.99,0,0,0,NOV,
4/24/2013,SHORUNW,MONTRL,MOUNT MASOCHIST II,B,10.5,34989,5/24/2011,1,99.99,0,0,0,AA,
4/24/2013,SHORUNW,MONTRL,MOUNT MASOCHIST II,B,11,34990,,1,99.99,0,0,0,NOV,
4/24/2013,SHORUNM,ADIDAS,ADISTAR RAVEN,D,8,35006,,1,119.99,0,0,0,AA,
4/24/2013,SHORUNM,ADIDAS,ADISTAR RAVEN,D,11,35012,8/21/2011,1,119.99,0,0,0,AA,
4/24/2013,APPSOCM,INJINJ,SOCK PERFORM MINI,BLK,S,35026,3/9/2013,1,11.99,0,0,0,NVL,
4/24/2013,APPSOCM,INJINJ,SOCK PERFORM MINI,BLK,S,35026,3/9/2013,-3,-35.97,0,0,0,WB,
4/24/2013,APPSOCM,INJINJ,SOCK PERFORM MINI,BLK,L,35028,4/9/2013,2,23.98,1,10.79,38.83,NOV,
4/24/2013,APPSOCM,INJINJ,SOCK PERFORM MINI,BLK,L,35028,4/9/2013,-1,-11.99,0,0,0,TC2,
4/24/2013,APPSOCM,INJINJ,SOCK PERFORM MINI,BLK,L,35028,4/9/2013,-2,-23.98,0,0,0,TC1,
4/24/2013,APPSOCM,BROOKS,SOCK LOW CUT TB 3PK,WHT,XL,35120,12/17/2012,2,21.98,0,0,0,TC2,
4/24/2013,SHORUNM,ASICS,RUSH 33,D,8.5,35132,,2,139.98,0,0,0,AA,
4/24/2013,SHORUNM,ASICS,RUSH 33,D,9,35133,7/30/2012,2,139.98,0,0,0,AA,
4/24/2013,SHORUNM,ASICS,RUSH 33,D,9.5,35134,2/5/2013,2,139.98,0,0,0,AA,
4/24/2013,APPJACM,MIZUNO,JKT WP ELIXIR,9090,L,35155,3/16/2012,1,124.99,0,0,0,NOV,
4/24/2013,APPPANM,MIZUNO,PANT BT LOOSE FIT,9090,M,35173,1/30/2013,2,169.98,0,0,0,AAW,
4/24/2013,APPPANM,MIZUNO,PANT BT LOOSE FIT,9090,XL,35175,2/6/2012,1,84.99,0,0,0,AAW,
