DCS,VC,Desc1,Attr,Size,Item#,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APPSUPW,CEP,CALF SLEEVE PROG+,FLA ORG,IV,3904,1,39.99,0,0,0,AAW
APPSUPW,CEP,CALF SLEEVE PROG+,GRN,III,3905,0,0,1,39.99,57.49,TC1
APPSOCM,WRIGHT,SOCK XFIT TAB,4,M,3906,12,143.88,0,0,0,AA
APPSOCM,WRIGHT,SOCK XFIT TAB,4,M,3906,3,35.97,5,56.35,63.35,NOV
APPSOCM,WRIGHT,SOCK XFIT TAB,4,M,3906,0,0,6,67.14,63.09,NVL
APPSOCM,WRIGHT,SOCK XFIT TAB,4,M,3906,12,143.88,0,0,0,WB
APPSOCM,WRIGHT,SOCK XFIT TAB,4,M,3906,9,107.91,2,23.98,65.55,TC2
APPSOCM,WRIGHT,SOCK XFIT TAB,4,M,3906,11,131.89,1,8,48.38,TC1
APPSOCM,WRIGHT,SOCK XFIT TAB,4,M,3906,3,35.97,2,23.98,65.55,AAW
APPSUIM,TRI2XU,SUIT COMP TRI,CHR/BTO,S,3910,2,259.98,0,0,0,NOV
APPSUIM,TRI2XU,SUIT COMP TRI,CHR/BTO,S,3910,2,259.98,0,0,0,AAW
APPSUIM,TRI2XU,SUIT COMP TRI,CHR/BTO,M,3911,4,519.96,0,0,0,NOV
APPSUIM,TRI2XU,SUIT COMP TRI,CHR/BTO,M,3911,4,519.96,0,0,0,AAW
APPSUIM,TRI2XU,SUIT COMP TRI,CHR/BTO,L,3912,2,259.98,0,0,0,NOV
APPSUIM,TRI2XU,SUIT COMP TRI,CHR/BTO,L,3912,2,259.98,0,0,0,AAW
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,S,3913,2,159.98,0,0,0,NOV
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,S,3913,2,159.98,0,0,0,AAW
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,M,3914,4,319.96,0,0,0,NOV
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,M,3914,4,319.96,0,0,0,AAW
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,L,3915,2,159.98,0,0,0,NOV
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,L,3915,2,159.98,0,0,0,AAW
SHOSPE,ADIDAS,SPRINTSTAR 4,B,7.5,3921,-1,-64.99,0,0,0,WB
SHOTENW,NB,CT1003,B,9,3936,1,109.99,0,0,0,AAW
MISSW A,BLUESE,GOGGLE NERO RCE BLK,YLW,ONE,3955,-4,-71.96,0,0,0,NOV
MISSW A,BLUESE,GOGGLE NERO RCE BLK,YLW,ONE,3955,3,53.97,0,0,0,NVL
MISSW A,BLUESE,GOGGLE NERO RCE BLK,YLW,ONE,3955,3,53.97,0,0,0,AAW
APPPANW,SUGOI,PANT MOXIE CAPRI,BLK,L,3956,1,64.99,0,0,0,AA
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,S,3963,2,239.98,0,0,0,NOV
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,S,3963,1,119.99,0,0,0,NVL
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,S,3963,1,119.99,0,0,0,TC2
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,S,3963,1,119.99,0,0,0,AAW
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,M,3964,2,239.98,0,0,0,NOV
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,M,3964,2,239.98,0,0,0,NVL
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,M,3964,2,239.98,0,0,0,TC2
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,M,3964,1,119.99,0,0,0,AAW
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,L,3965,2,239.98,0,0,0,NOV
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,L,3965,1,119.99,1,119.99,52,NVL
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,L,3965,0,0,1,95.99,39.99,TC2
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,L,3965,2,239.98,0,0,0,AAW
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,XL,3966,1,119.99,0,0,0,NOV
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,XL,3966,0,0,1,119.99,52,NVL
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,XL,3966,1,119.99,0,0,0,TC2
APPSUIM,ZOOT,RACESUIT PERF TRI,BLK/GRPH,XL,3966,1,119.99,0,0,0,AAW
APPH&H,ZOOT,VISOR VENTILATOR,WHT/BLK,ONE,3967,5,99.95,0,0,0,NOV
APPH&H,ZOOT,VISOR VENTILATOR,WHT/BLK,ONE,3967,0,0,1,19.99,51.68,NVL
APPH&H,ZOOT,VISOR VENTILATOR,WHT/BLK,ONE,3967,1,19.99,1,19.99,51.68,TC2
APPH&H,ZOOT,VISOR VENTILATOR,WHT/BLK,ONE,3967,1,19.99,2,36.98,47.76,AAW
APPSHIW,SMARTW,TOP LIGHTWEIGHT ZP T,77,S,3975,0,0,2,110.48,30.76,TC2
APPSHIW,SMARTW,TOP LIGHTWEIGHT ZP T,77,S,3975,5,424.95,0,0,0,AAW
APPSHIW,SMARTW,TOP LIGHTWEIGHT ZP T,77,M,3976,2,169.98,0,0,0,AAW
APPSHIW,SMARTW,TOP LIGHTWEIGHT ZP T,77,L,3977,0,0,2,135.98,43.74,TC2
APPSHIW,SMARTW,TOP LIGHTWEIGHT ZP T,77,L,3977,5,424.95,0,0,0,AAW
APPSHIW,SMARTW,TOP LIGHTWEIGHT ZP T,77,XL,3978,1,84.99,0,0,0,AAW
APPSHIW,SMARTW,TOP LIGHTWEIGHT ZP T,614,S,3980,4,339.96,0,0,0,AAW
MISACCACC,POLAR,T31 ELASTIC STRAP,BLK,M,3998,1,5.99,0,0,0,NOV
MISACCACC,POLAR,T31 ELASTIC STRAP,BLK,M,3998,1,5.99,0,0,0,WB
SHORUNW,NB,W860 V3,2E,8.5,4024,0,0,1,114.99,48.29,NVL
MISFOO,POWERB,RECOVERY BAR,PNT CAR,ONE,4050,17,33.83,1,1.99,55.28,AA
MISFOO,POWERB,RECOVERY BAR,PNT CAR,ONE,4050,27,53.73,0,0,0,NOV
MISFOO,POWERB,RECOVERY BAR,PNT CAR,ONE,4050,15,29.85,0,0,0,WB
MISFOO,POWERB,RECOVERY BAR,PNT CAR,ONE,4050,28,55.72,2,2.89,38.41,AAW
SHOSPE,NIKE,ZOOM RIVAL D 7,D,10.5,4051,-1,-59.99,0,0,0,NVL
MISFOO,POWERB,RECOVERY BAR,COO CAR,ONE,4054,14,27.86,2,3.38,47.34,AA
MISFOO,POWERB,RECOVERY BAR,COO CAR,ONE,4054,29,57.71,1,1.99,55.28,NOV
MISFOO,POWERB,RECOVERY BAR,COO CAR,ONE,4054,15,29.85,0,0,0,WB
MISFOO,POWERB,RECOVERY BAR,COO CAR,ONE,4054,15,29.85,5,4.5,1.11,AAW
SHORUNW,NB,W1080 V2,B,7.5,4071,1,134.99,0,0,0,NVL
MISACCACC,MARKWO,SPIKE WRENCH FLAT,STL,ONE,4126,33,32.67,0,0,0,NOV
MISACCACC,MARKWO,SPIKE WRENCH FLAT,STL,ONE,4126,5,4.95,0,0,0,NVL
MISACCACC,MARKWO,SPIKE WRENCH FLAT,STL,ONE,4126,38,37.62,0,0,0,WB
MISACCACC,MARKWO,SPIKE WRENCH FLAT,STL,ONE,4126,-3,-2.97,0,0,0,TC2
MISACCACC,MARKWO,SPIKE WRENCH FLAT,STL,ONE,4126,8,7.92,1,0.99,57.58,TC1
MISACCACC,MARKWO,SPIKE WRENCH FLAT,STL,ONE,4126,6,5.94,2,1.88,55.32,AAW
MISACCACC,CHICA,HAIRBAND RUNNING,,1 IN,4140,5,59.95,0,0,0,AA
MISACCACC,CHICA,HAIRBAND RUNNING,,1 IN,4140,-2,-23.98,1,11.99,49.96,NOV
MISACCACC,CHICA,HAIRBAND RUNNING,,1 IN,4140,-1,-11.99,1,11.99,49.96,NVL
MISACCACC,CHICA,HAIRBAND RUNNING,,1 IN,4140,-1,-11.99,1,11.99,49.96,AAW
SHORUNM,NIKE,ZOOM STR TRIAX+ 14,D,10,4150,1,99.99,0,0,0,TC2
SHOSPE,NIKE,ZOOM RIVAL D 7,B,8.5,4166,-1,-59.99,1,53.99,49.94,TC1
SHOSPE,SAUCON,ENDORPHIN LD 3,B,8,4170,-2,-179.98,0,0,0,NOV
SHOSPE,SAUCON,ENDORPHIN LD 3,B,8.5,4171,-2,-179.98,0,0,0,NOV
SHOSPE,SAUCON,ENDORPHIN LD 3,B,9,4172,-1,-89.99,0,0,0,NOV
SHOSPE,SAUCON,ENDORPHIN LD 3,B,9.5,4173,-1,-89.99,0,0,0,NOV
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,808,ONE,4175,0,0,2,43.18,51.09,AA
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,808,ONE,4175,6,143.94,0,0,0,NOV
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,808,ONE,4175,4,95.96,2,47.98,55.98,NVL
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,808,ONE,4175,1,23.99,3,71.97,55.98,WB
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,808,ONE,4175,3,71.97,2,47.98,55.98,TC2
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,808,ONE,4175,4,95.96,0,0,0,TC1
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,808,ONE,4175,4,95.96,1,23.99,55.98,AAW
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,605,ONE,4176,2,47.98,1,23.99,55.98,NOV
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,605,ONE,4176,1,23.99,0,0,0,NVL
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,605,ONE,4176,-1,-23.99,1,23.99,55.98,WB
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,605,ONE,4176,0,0,2,43.18,51.09,TC2
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,605,ONE,4176,2,47.98,1,23.99,55.98,TC1
APPCAPM,BROOKS,CAP NIGHTLIFE MESH,605,ONE,4176,1,23.99,0,0,0,AAW
APPCAPW,BROOKS,CAP HVAC RUN HAPPY,8,ONE,4177,2,47.98,3,64.77,51.09,AA
APPCAPW,BROOKS,CAP HVAC RUN HAPPY,8,ONE,4177,2,47.98,0,0,0,NOV
APPCAPW,BROOKS,CAP HVAC RUN HAPPY,8,ONE,4177,2,47.98,2,47.98,55.98,NVL
APPCAPW,BROOKS,CAP HVAC RUN HAPPY,8,ONE,4177,3,71.97,3,69.57,54.46,WB
APPCAPW,BROOKS,CAP HVAC RUN HAPPY,8,ONE,4177,0,0,4,91.16,53.66,TC2
APPCAPW,BROOKS,CAP HVAC RUN HAPPY,8,ONE,4177,1,23.99,1,23.99,55.98,TC1
APPCAPW,BROOKS,CAP HVAC RUN HAPPY,8,ONE,4177,4,95.96,0,0,0,AAW
APPCAPW,BROOKS,CAP SHAMROCK MESH,100,ONE,4178,1,19.99,1,15.99,44.97,NOV
APPCAPW,BROOKS,CAP SHAMROCK MESH,100,ONE,4178,1,19.99,2,39.98,55.98,NVL
APPCAPW,BROOKS,CAP SHAMROCK MESH,100,ONE,4178,1,19.99,0,0,0,WB
APPCAPW,BROOKS,CAP SHAMROCK MESH,100,ONE,4178,0,0,1,19.99,55.98,TC2
APPCAPW,BROOKS,CAP SHAMROCK MESH,100,ONE,4178,0,0,2,39.98,55.98,AAW
APPH&H,BROOKS,VISOR RUN HAPPY,8,ONE,4179,1,17.99,0,0,0,AA
APPH&H,BROOKS,VISOR RUN HAPPY,8,ONE,4179,2,35.98,1,17.99,55.98,WB
APPH&H,BROOKS,VISOR RUN HAPPY,8,ONE,4179,0,0,1,14.39,44.96,TC2
APPH&H,BROOKS,VISOR RUN HAPPY,8,ONE,4179,0,0,2,35.98,55.98,TC1
APPH&H,BROOKS,VISOR RUN HAPPY,8,ONE,4179,0,0,1,17.99,55.98,AAW
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,M,4180,3,113.97,0,0,0,AA
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,M,4180,4,151.96,0,0,0,NOV
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,M,4180,1,37.99,0,0,0,NVL
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,M,4180,2,75.98,1,37.99,55.99,WB
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,M,4180,2,75.98,2,64.58,48.22,TC2
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,M,4180,3,113.97,1,37.99,55.99,TC1
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,M,4180,1,37.99,1,34.19,51.1,AAW
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,L,4181,0,0,2,68.38,51.1,AA
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,L,4181,2,75.98,0,0,0,NOV
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,L,4181,1,37.99,2,75.98,55.99,NVL
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,L,4181,2,75.98,1,37.99,55.99,WB
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,L,4181,2,75.98,1,30.39,44.98,TC2
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,L,4181,2,75.98,0,0,0,TC1
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,L,4181,2,75.98,1,37.99,55.99,AAW
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,XL,4182,2,75.98,0,0,0,AA
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,XL,4182,2,75.98,0,0,0,NOV
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,XL,4182,2,75.98,0,0,0,NVL
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,XL,4182,1,37.99,1,37.99,55.99,WB
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,XL,4182,2,75.98,0,0,0,TC2
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,XL,4182,1,37.99,0,0,0,TC1
APPSHOM,BROOKS,SHORT ESSNTL 2IN1 7,1,XL,4182,2,75.98,0,0,0,AAW
SHORUNM,ASICS,GT 3000,D,8.5,4183,0,0,1,129.99,50.5,AAW
SHORUNM,ASICS,GT 3000,D,9,4184,1,129.99,0,0,0,NOV
SHORUNM,ASICS,GT 3000,D,9.5,4185,1,129.99,0,0,0,AAW
SHORUNM,ASICS,GT 3000,D,10,4186,2,259.98,0,0,0,AA
SHORUNM,ASICS,GT 3000,D,10,4186,1,129.99,0,0,0,NOV
SHORUNM,ASICS,GT 3000,D,10,4186,0,0,2,259.98,71.71,NVL
SHORUNM,ASICS,GT 3000,D,10,4186,1,129.99,0,0,0,WB
SHORUNM,ASICS,GT 3000,D,10.5,4187,1,129.99,0,0,0,AA
SHORUNM,ASICS,GT 3000,D,10.5,4187,1,129.99,0,0,0,NVL
SHORUNM,ASICS,GT 3000,D,11,4188,1,129.99,1,116.99,52.63,NVL
SHORUNM,ASICS,GT 3000,D,11.5,4189,1,129.99,0,0,0,AA
SHORUNM,ASICS,GT 3000,D,11.5,4189,1,129.99,0,0,0,NVL
SHORUNM,ASICS,GT 3000,D,11.5,4189,2,259.98,0,0,0,AAW
SHORUNM,ASICS,GT 3000,D,12,4190,1,129.99,0,0,0,AA
SHORUNM,ASICS,GT 3000,D,12,4190,1,129.99,0,0,0,WB
SHORUNM,ASICS,GT 3000,D,12,4190,2,259.98,0,0,0,AAW
SHORUNM,ASICS,GT 3000,D,12.5,4191,1,129.99,0,0,0,AA
SHORUNM,ASICS,GT 3000,D,12.5,4191,0,0,1,116.99,63.33,NVL
SHORUNM,ASICS,GT 3000,D,12.5,4191,1,129.99,0,0,0,AAW
SHORUNM,ASICS,GT 3000,D,13,4192,1,129.99,0,0,0,AA
SHORUNM,ASICS,GT 3000,D,13,4192,-1,-129.99,0,0,0,NOV
SHORUNM,ASICS,GT 3000,D,13,4192,1,129.99,0,0,0,NVL
SHORUNW,ASICS,GT 3000,B,7,4193,1,129.99,0,0,0,AA
SHORUNW,ASICS,GT 3000,B,7.5,4194,1,129.99,0,0,0,NOV
SHORUNW,ASICS,GT 3000,B,7.5,4194,1,129.99,0,0,0,AAW
