DCS,VC,Desc1,Attr,Size,Item#,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
SHORUNW,ASICS,GT 3000,B,8,4195,1,129.99,0,0,0,AA
SHORUNW,ASICS,GT 3000,B,9.5,4199,1,129.99,0,0,0,AA
SHORUNW,ASICS,GT 3000,B,9.5,4199,0,0,1,129.99,75.25,NVL
SHORUNW,ASICS,GT 2160,2A,7.5,4201,1,99.99,0,0,0,TC2
APPSHIM,ZOOT,TOP ENDUR TRI TANK,BLK,S,4204,1,64.99,0,0,0,NOV
APPSHIM,ZOOT,TOP ENDUR TRI TANK,BLK,S,4204,2,129.98,0,0,0,AAW
APPSHIM,ZOOT,TOP ENDUR TRI TANK,BLK,M,4205,1,64.99,0,0,0,NOV
APPSHIM,ZOOT,TOP ENDUR TRI TANK,BLK,M,4205,5,324.95,0,0,0,AAW
MISMED,PRO TE,CALF SLEEVE,,XL,4208,-1,-16.99,0,0,0,NVL
SHORUNM,BROOKS,DEFYANCE 2,D,10.5,4216,1,99.99,0,0,0,AA
SHORUNW,ASICS,GT 3000,B,10,4220,1,129.99,0,0,0,NVL
SHORUNW,ASICS,GT 3000,B,10,4220,0,0,1,129.99,83.5,AAW
SHORUNW,ASICS,GT 3000,B,10.5,4221,0,0,1,129.99,50.5,NVL
SHORUNW,ASICS,GT 3000,B,11,4222,1,129.99,0,0,0,NOV
SHORUNM,BROOKS,RAVENNA 4,D,7,4231,1,109.99,0,0,0,NVL
SHORUNM,BROOKS,RAVENNA 4,D,7,4231,1,109.99,0,0,0,WB
SHORUNM,BROOKS,RAVENNA 4,D,7,4231,0,0,1,87.99,38.12,AAW
SHORUNM,BROOKS,RAVENNA 4,D,7.5,4232,1,109.99,0,0,0,WB
APPSHIW,NB,TOP KOMEN TANK,100,XS,4233,1,41.99,1,20,7.6,AA
APPSHIW,NB,TOP KOMEN TANK,100,XS,4233,-1,-41.99,0,0,0,NOV
APPSHIW,NB,TOP KOMEN TANK,100,XS,4233,1,41.99,0,0,0,AAW
SHORUNM,BROOKS,RAVENNA 4,D,8,4236,1,109.99,0,0,0,NVL
SHORUNM,BROOKS,RAVENNA 4,D,8,4236,1,109.99,0,0,0,WB
SHORUNM,BROOKS,RAVENNA 4,D,8.5,4237,0,0,1,109.99,51.6,AA
SHORUNM,BROOKS,RAVENNA 4,D,8.5,4237,1,109.99,0,0,0,WB
SHORUNM,BROOKS,RAVENNA 4,D,8.5,4237,1,109.99,0,0,0,TC2
SHORUNM,BROOKS,RAVENNA 4,D,8.5,4237,1,109.99,0,0,0,TC1
SHORUNM,BROOKS,RAVENNA 4,D,8.5,4237,1,109.99,0,0,0,AAW
SHORUNM,BROOKS,RAVENNA 4,D,9,4252,-1,-109.99,1,109.99,51.39,AA
SHORUNM,BROOKS,RAVENNA 4,D,9,4252,2,219.98,1,109.99,51.36,NOV
