DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
SHORUNM,MIZUNO,RIDER 11,D,7,193,3/20/2010,1,94.99,0,0,0,AAW
SHOWALW,NB,WW812WT,B,8,194,2/4/2013,2,209.98,0,0,0,TC1
SHOWALW,NB,WW812WT,B,8.5,195,,4,419.96,0,0,0,TC1
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,HOPE,700ML,207,4/5/2013,2,39.98,0,0,0,AA
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,HOPE,700ML,207,4/5/2013,1,19.99,1,17.99,49.97,NOV
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,HOPE,700ML,207,4/5/2013,2,39.98,0,0,0,AAW
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,PEACK,700ML,208,2/22/2013,0,0,1,17.99,49.97,NOV
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,PEACK,700ML,208,2/22/2013,0,0,2,29.98,39.96,NVL
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,PEACK,700ML,208,2/22/2013,0,0,1,19.99,54.98,WB
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,BL VINE,700ML,209,3/27/2013,0,0,1,19.99,54.98,AAW
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,JPN FLWR,700ML,210,3/17/2013,1,19.99,0,0,0,AA
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,JPN FLWR,700ML,210,3/17/2013,1,19.99,1,19.99,54.98,NOV
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,JPN FLWR,700ML,210,3/17/2013,-1,-19.99,2,29.98,39.96,NVL
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,JPN FLWR,700ML,210,3/17/2013,0,0,1,19.99,54.98,WB
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,10/14/2012,0,0,3,72.47,53.43,AA
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,10/14/2012,0,0,3,72.47,53.43,NOV
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,10/14/2012,0,0,2,47.48,52.61,NVL
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,10/14/2012,0,0,6,147.44,54.22,WB
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,10/14/2012,0,0,2,49.98,54.98,TC2
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,10/14/2012,1,24.99,1,24.99,54.98,TC1
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,10/14/2012,1,24.99,1,24.99,54.98,AAW
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,4/27/2013,0,0,2,49.98,54.98,AA
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,4/27/2013,0,0,2,47.48,52.61,NOV
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,4/27/2013,0,0,1,22.49,49.98,NVL
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,4/27/2013,0,0,3,69.97,51.77,WB
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,4/27/2013,3,74.97,2,49.98,54.98,TC2
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,4/27/2013,2,49.98,1,24.99,54.98,TC1
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,4/27/2013,-1,-24.99,1,24.99,54.98,AAW
SHOWALW,NB,WW812WT,B,10,215,8/27/2012,1,104.99,0,0,0,NVL
SHOWALW,NB,WW812WT,B,10,215,8/27/2012,1,104.99,0,0,0,TC1
SHOWALW,NB,WW812WT,B,10,215,8/27/2012,0,0,1,104.99,53.66,AAW
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,4/20/2013,-1,-5.99,0,0,0,AA
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,4/20/2013,0,0,2,11.38,48.15,NOV
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,4/20/2013,0,0,4,20.36,42.04,NVL
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,4/20/2013,1,5.99,0,0,0,WB
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,4/20/2013,-1,-5.99,0,0,0,TC1
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,4/20/2013,3,17.97,0,0,0,AAW
APPSHIW,SKIRT,TOP TWILIGHT TANK,66,S,219,5/11/2013,0,0,1,46.74,45.87,AA
APPSHIW,SKIRT,TOP TWILIGHT TANK,66,S,219,5/11/2013,0,0,2,98.98,48.88,TC2
APPSOCM,WRIGHT,SOCK DLX QUARTER,4,S,226,8/15/2012,-1,-11.99,7,40.8,14.22,NVL
APPSOCM,WRIGHT,SOCK DLX QUARTER,4,S,226,8/15/2012,1,11.99,0,0,0,AAW
SHORUNM,NB,M860 V2,D,11.5,232,6/3/2012,0,0,1,109.99,48.3,NVL
MISBOO,S&S,BOOK ONCE A RUNNER,,ONE,243,9/29/2012,0,0,3,37.47,39.95,AA
SHORUNM,MIZUNO,PRECISION 11,D,7.5,247,7/25/2012,0,0,1,87.29,38.88,NVL
SHOWALW,NB,WW812WT,D,6,257,6/16/2012,0,0,1,94.49,47.77,NVL
SHORUNM,MIZUNO,PRECISION 11,D,13,258,8/17/2012,0,0,2,174.58,43.77,NOV
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,5/4/2013,2,79.98,0,0,0,AA
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,5/4/2013,2,79.98,0,0,0,NVL
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,5/4/2013,1,39.99,0,0,0,TC2
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,5/4/2013,2,79.98,0,0,0,AAW
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,M,262,5/1/2013,2,79.98,0,0,0,AA
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,M,262,5/1/2013,2,79.98,0,0,0,NVL
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,M,262,5/1/2013,2,79.98,0,0,0,TC2
